indicator,age_modifier,sex_modifier,value,county,sub_indicator
county_population,TOTAL,FEMALE,50.57,Tana River,County population total female %
county_population,TOTAL,MALE,49.43,Tana River,County population total male % 
county_population,TOTAL,FEMALE,50.85,Tharaka-Nithi,County population total female %
county_population,TOTAL,MALE,49.15,Tharaka-Nithi,County population total male % 
county_population,TOTAL,FEMALE,50.59,Turkana,County population total female %
county_population,TOTAL,MALE,49.41,Turkana,County population total male % 
county_population,TOTAL,FEMALE,50.41,Wajir,County population total female %
county_population,TOTAL,MALE,49.59,Wajir,County population total male % 
county_population,TOTAL,FEMALE,50.71,Baringo,County population total female %
county_population,TOTAL,MALE,49.29,Baringo,County population total male % 
county_population,TOTAL,FEMALE,50.54,Garissa,County population total female %
county_population,TOTAL,MALE,49.46,Garissa,County population total male % 
county_population,TOTAL,FEMALE,51.1,Isiolo,County population total female %
county_population,TOTAL,MALE,48.9,Isiolo,County population total male % 
county_population,TOTAL,FEMALE,50.95,Kitui,County population total female %
county_population,TOTAL,MALE,49.05,Kitui,County population total male % 
county_population,TOTAL,FEMALE,51.73,Laikipia,County population total female %
county_population,TOTAL,MALE,48.27,Laikipia,County population total male % 
county_population,TOTAL,FEMALE,50.64,Embu,County population total female %
county_population,TOTAL,MALE,49.36,Embu,County population total male % 
county_population,TOTAL,FEMALE,50.26,Kajiado,County population total female %
county_population,TOTAL,MALE,49.74,Kajiado,County population total male % 
county_population,TOTAL,FEMALE,50.3,Kilifi,County population total female %
county_population,TOTAL,MALE,49.7,Kilifi,County population total male % 
county_population,TOTAL,FEMALE,50.4,Kwale,County population total female %
county_population,TOTAL,MALE,49.6,Kwale,County population total male % 
county_population,TOTAL,FEMALE,50.13,Lamu,County population total female %
county_population,TOTAL,MALE,49.87,Lamu,County population total male % 
county_population,TOTAL,FEMALE,50.62,Narok,County population total female %
county_population,TOTAL,MALE,49.38,Narok,County population total male % 
county_population,TOTAL,FEMALE,51.01,Nyeri,County population total female %
county_population,TOTAL,MALE,48.99,Nyeri,County population total male % 
county_population,TOTAL,FEMALE,50.73,Taita Taveta,County population total female %
county_population,TOTAL,MALE,49.27,Taita Taveta,County population total male % 
county_population,TOTAL,FEMALE,50.71,West Pokot,County population total female %
county_population,TOTAL,MALE,49.29,West Pokot,County population total male % 
